time,analog
0.029999999,21557
0.059999999,21547
0.090000004,21530
0.119999997,21527
0.150000006,21513
0.180000007,21507
0.209999993,21500
0.239999995,21494
0.270000011,21481
0.300000012,21476
0.330000013,21469
0.360000014,21462
0.389999986,21456
0.419999987,21453
0.449999988,21455
0.479999989,21449
0.50999999,21442
0.540000021,21441
0.569999993,21435
0.600000024,21430
0.629999995,21424
0.660000026,21422
0.689999998,21418
0.720000029,21417
0.75,21412
0.779999971,21410
0.810000002,21406
0.839999974,21403
0.870000005,21402
0.899999976,21399
0.930000007,21392
0.959999979,21394
0.99000001,21389
1.019999981,21387
1.049999952,21388
1.080000043,21384
1.110000014,21384
1.139999986,21382
1.169999957,21380
1.200000048,21379
1.230000019,21375
1.25999999,21374
1.289999962,21375
1.320000052,21375
1.350000024,21371
1.379999995,21371
1.409999967,21371
1.440000057,21371
1.470000029,21369
1.5,21368
1.529999971,21368
1.559999943,21368
1.590000033,21369
1.620000005,21366
1.649999976,21366
1.679999948,21358
1.710000038,21364
1.74000001,21367
1.769999981,21369
1.799999952,21378
1.830000043,21361
1.860000014,21271
1.889999986,21291
1.919999957,21367
1.950000048,21376
1.980000019,21369
2.00999999,21391
2.039999962,21377
2.069999933,21374
2.099999905,21379
2.130000114,21372
2.160000086,21381
2.190000057,21382
2.220000029,21380
2.25,21393
2.279999971,21399
2.309999943,21398
2.339999914,21403
2.369999886,21405
2.400000095,21408
2.430000067,21388
2.460000038,21379
2.49000001,21376
2.519999981,21367
2.549999952,21378
2.579999924,21377
2.609999895,21379
2.640000105,21381
2.670000076,21383
2.700000048,21381
2.730000019,21387
2.75999999,21384
2.789999962,21387
2.819999933,21389
2.849999905,21390
2.880000114,21391
2.910000086,21392
2.940000057,21394
2.970000029,21396
3.0,21395
3.029999971,21347
3.059999943,21360
3.089999914,21378
3.119999886,21380
3.150000095,21357
3.180000067,21363
3.210000038,21376
3.24000001,21371
3.269999981,21376
3.299999952,21378
3.329999924,21379
3.359999895,21382
3.390000105,21382
3.420000076,21382
3.450000048,21379
3.480000019,21380
3.50999999,21380
3.539999962,21378
3.569999933,21380
3.599999905,21373
3.630000114,21376
3.660000086,21381
3.690000057,21381
3.720000029,21379
3.75,21383
3.779999971,21385
3.809999943,21387
3.839999914,21388
3.869999886,21391
3.900000095,21389
3.930000067,21392
3.960000038,21393
3.99000001,21393
4.019999981,21395
4.050000191,21399
4.079999924,21401
4.110000134,21397
4.139999866,21398
4.170000076,21401
4.199999809,21401
4.230000019,21404
4.260000229,21400
4.289999962,21404
4.320000172,21403
4.349999905,21403
4.380000114,21407
4.409999847,21408
4.440000057,21408
4.46999979,21411
4.5,21403
4.53000021,21403
4.559999943,21400
4.590000153,21399
4.619999886,21400
4.650000095,21397
4.679999828,21394
4.710000038,21389
4.739999771,21390
4.769999981,21379
4.800000191,21324
4.829999924,21327
4.860000134,21329
4.889999866,21346
4.920000076,21367
4.949999809,21366
4.980000019,21372
5.010000229,21378
5.039999962,21381
5.070000172,21380
5.099999905,21377
5.130000114,21383
5.159999847,21388
5.190000057,21392
5.21999979,21399
5.25,21407
5.28000021,21412
5.309999943,21413
5.340000153,21414
5.369999886,21416
5.400000095,21417
5.429999828,21418
5.460000038,21418
5.489999771,21421
5.519999981,21423
5.550000191,21400
5.579999924,21399
5.610000134,21401
5.639999866,21398
5.670000076,21409
5.699999809,21408
5.730000019,21403
5.760000229,21408
5.789999962,21408
5.820000172,21415
5.849999905,21416
5.880000114,21410
5.909999847,21419
5.940000057,21423
5.96999979,21420
6.0,21422
6.03000021,21427
6.059999943,21433
6.090000153,21434
6.119999886,21437
6.150000095,21435
6.179999828,21438
6.210000038,21439
6.239999771,21440
6.269999981,21441
6.300000191,21440
6.329999924,21444
6.360000134,21447
6.389999866,21444
6.420000076,21440
6.449999809,21441
6.480000019,21434
6.510000229,21448
6.539999962,21453
6.570000172,21457
6.599999905,21456
6.630000114,21460
6.659999847,21459
6.690000057,21435
6.71999979,21399
6.75,21420
6.78000021,21445
6.809999943,21455
6.840000153,21458
6.869999886,21459
6.900000095,21462
6.929999828,21444
6.960000038,21429
6.989999771,21317
7.019999981,21140
7.050000191,20964
7.079999924,20779
7.110000134,20608
7.139999866,20467
7.170000076,20338
7.199999809,20229
7.230000019,20143
7.260000229,20082
7.289999962,20035
7.320000172,20012
7.349999905,19972
7.380000114,19958
7.409999847,19950
7.440000057,19941
7.46999979,19954
7.5,19941
7.53000021,19960
7.559999943,19993
7.590000153,20000
7.619999886,20015
7.650000095,20044
7.679999828,20073
7.710000038,20085
7.739999771,20090
7.769999981,20090
7.800000191,20070
7.829999924,20069
7.860000134,20074
7.889999866,20076
7.920000076,20079
7.949999809,20073
7.980000019,20067
8.010000229,20085
8.039999962,20083
8.069999695,20057
8.100000381,20052
8.130000114,20029
8.159999847,20043
8.18999958,20034
8.220000267,20025
8.25,20023
8.279999733,20022
8.31000042,20024
8.340000153,20032
8.369999886,20029
8.399999619,20025
8.430000305,20002
8.460000038,19991
8.489999771,19972
8.520000458,19956
8.550000191,19937
8.579999924,19920
8.609999657,19923
8.640000343,19899
8.670000076,19885
8.699999809,19886
8.729999542,19878
8.760000229,19870
8.789999962,19871
8.819999695,19889
8.850000381,19891
8.880000114,19889
8.909999847,19878
8.93999958,19895
8.970000267,19880
9.0,19877
9.029999733,19862
9.06000042,19849
9.090000153,19853
9.119999886,19829
9.149999619,19816
9.180000305,19821
9.210000038,19826
9.239999771,19824
9.270000458,19826
9.300000191,19825
9.329999924,19820
9.359999657,19796
9.390000343,19730
9.420000076,19713
9.449999809,19655
9.479999542,19591
9.510000229,19533
9.539999962,19492
9.569999695,19472
9.600000381,19465
9.630000114,19435
9.659999847,19412
9.68999958,19372
9.720000267,19359
9.75,19329
9.779999733,19321
9.81000042,19307
9.840000153,19233
9.869999886,19176
9.899999619,19136
9.930000305,19116
9.960000038,19036
9.989999771,18980
10.02000046,18925
10.05000019,18859
10.07999992,18805
10.10999966,18761
10.14000034,18702
10.17000008,18671
10.19999981,18665
10.22999954,18621
10.26000023,18619
10.28999996,18598
10.31999969,18584
10.35000038,18549
10.38000011,18529
10.40999985,18491
10.43999958,18430
10.47000027,18400
10.5,18347
10.52999973,18301
10.56000042,18247
10.59000015,18204
10.61999989,18198
10.64999962,18172
10.68000031,18170
10.71000004,18219
10.73999977,18250
10.77000046,18265
10.80000019,18233
10.82999992,18215
10.85999966,18130
10.89000034,17953
10.92000008,17731
10.94999981,17504
10.97999954,17275
11.01000023,17047
11.03999996,16823
11.06999969,16602
11.10000038,16385
11.13000011,16173
11.15999985,15963
11.18999958,15757
11.22000027,15555
11.25,15358
11.27999973,15167
11.31000042,14978
11.34000015,14773
11.36999989,14623
11.39999962,14450
11.43000031,14275
11.46000004,14108
11.48999977,13945
11.52000046,13770
11.55000019,13615
11.57999992,13462
11.60999966,13312
11.64000034,13166
11.67000008,13024
11.69999981,12885
11.72999954,12750
11.76000023,12617
11.78999996,12487
11.81999969,12366
11.85000038,12245
11.88000011,12128
11.90999985,12014
11.93999958,11905
11.97000027,11797
12.0,11691
12.02999973,11590
12.06000042,11491
12.09000015,11396
12.11999989,11303
12.14999962,11212
12.18000031,11125
12.21000004,11041
12.23999977,10957
12.27000046,10878
12.30000019,10800
12.32999992,10725
12.35999966,10650
12.39000034,10580
12.42000008,10511
12.44999981,10443
12.47999954,10378
12.51000023,10314
12.53999996,10252
12.56999969,10191
12.60000038,10133
12.63000011,10075
12.65999985,10020
12.68999958,9965
12.72000027,9912
12.75,9861
12.77999973,9811
12.81000042,9762
12.84000015,9715
12.86999989,9668
12.89999962,9622
12.93000031,9578
12.96000004,9534
12.98999977,9492
13.02000046,9450
13.05000019,9410
13.07999992,9370
13.10999966,9331
13.14000034,9292
13.17000008,9256
13.19999981,9221
13.22999954,9184
13.26000023,9149
13.28999996,9115
13.31999969,9082
13.35000038,9050
13.38000011,9017
13.40999985,8986
13.43999958,8956
13.47000027,8926
13.5,8894
13.52999973,8866
13.56000042,8838
13.59000015,8809
13.61999989,8783
13.64999962,8755
13.68000031,8728
13.71000004,8702
13.73999977,8677
13.77000046,8651
13.80000019,8626
13.82999992,8602
13.85999966,8579
13.89000034,8555
13.92000008,8531
13.94999981,8508
13.97999954,8485
14.01000023,8464
14.03999996,8441
14.06999969,8419
14.10000038,8399
14.13000011,8376
14.15999985,8357
14.18999958,8337
14.22000027,8317
14.25,8297
14.27999973,8278
14.31000042,8259
14.34000015,8240
14.36999989,8221
14.39999962,8203
14.43000031,8184
14.46000004,8167
14.48999977,8150
14.52000046,8131
14.55000019,8114
14.57999992,8098
14.60999966,8081
14.64000034,8064
14.67000008,8048
14.69999981,8032
14.72999954,8015
14.76000023,8001
14.78999996,7986
14.81999969,7970
14.85000038,7955
14.88000011,7940
14.90999985,7925
14.93999958,7910
14.97000027,7896
15.0,7883
15.02999973,7867
15.06000042,7853
15.09000015,7840
15.11999989,7826
15.14999962,7813
15.18000031,7799
15.21000004,7785
15.23999977,7773
15.27000046,7760
15.30000019,7747
15.32999992,7734
15.35999966,7722
15.39000034,7709
15.42000008,7698
15.44999981,7685
15.47999954,7674
15.51000023,7661
15.53999996,7649
15.56999969,7638
15.60000038,7627
15.63000011,7615
15.65999985,7604
15.68999958,7592
15.72000027,7583
15.75,7571
15.77999973,7560
15.81000042,7550
15.84000015,7539
15.86999989,7528
15.89999962,7517
15.93000031,7507
